id,channel,category,title,content,view_cnt,like_cnt,comment_cnt,created_at
1,mam2bebe,의류,"뉴발란스 키즈 에센셜 하이 글로시 아동 숏 다운 패딩 207,700원","기본 패딩 디자인이구요. 
딸램용 숏패딩 다운으로 유광이라 이뻐요 ㅎㅎ 

5%쿠폰에 등급쿠폰,페이 할인 등
다 받으면 207,700원 나와요.",6396,58,10,2025-10-20 14:35
2,mam2bebe,의류,"컬러블록헤비숏다운 112,050","쿠폰 받으셔야해요.
그 외에도 캉캉데이라고 오늘 하루 할인 하네요. 
이거 말고 다른 다운들도 많아요. ",4871,59,32,2025-10-20 14:31
3,mam2bebe,의류,"아동 가을·겨울 내복 세트 초특가 7,900원 무배","작년에 핫딜 떴을 때 특템한 건데, 소재가 부들부들해서 겨울 내내 이것만 입혔어요ㅎㅎ

핫딜 또 안 뜨나 기다렸는데, 오늘 드디어 떴습니다.

사이즈 아직 100~120 있어요.

품절되기 전에 달리세요!",6105,34,24,2025-10-20 12:34
4,mam2bebe,의류,"구스점퍼/내셔널지오그래픽키즈 카이만 롱 헤비 다운 점퍼 110,363 초핫딜인듯","다른경로 검색하니 11만원대 가격너무 좋아서 

핫딜인거 많이들 보시라고? 올려요. 감사합니다-♡♡

후기는 검색하세요^^

​

160사이즈/카키 다 품절! 

그 외엔 다 있어요.

​

페이지 12프로 쿠폰 받아 적용하시고

일반결제 하고 삼성페이/삼성카드 결재하시면됩니다.

(조금 비싸긴하지만 삼성페이/삼성카드 없으신분들 현대카드,우리카드 청구할인 12만원대 구매가능.)

​

****** 반드시!!!! 일반결제 삼성페이 - 삼성카드 선택해 주세요. (혹시 모르니 삼성링크는 해주세요)

         아이폰은 삼성페이가 안나오는 모양이네요 ㅜㅜ

​

오케이캐쉬백 경로하시면 2프로 적립가능합니다.

​

시그니쳐 카이만 롱 구스 헤비 다운점퍼 K244UDW320",10000,267,162,2025-10-20 11:29
5,mam2bebe,의류,"뉴발란스 키즈 유광/무광 리버서블 숏다운 덕 패딩 227,050원 무배","뉴발 신상 패딩 색상 3개 있는데 다 예쁘네요!

유광 무광 리버서블로 입힐 수 있어서 좋네용ㅋㅋㅋ

날씨 확 추워졌는데 품절 전에 보러가세요

페이할인 적용하면 조금 더 저렴해요~",4127,27,6,2025-10-20 11:20
6,mam2bebe,뷰티,"참존 더블 모이스처 오일 인 세럼 플러스 30ml 6개 15,960원 초핫딜!","참존 오일인 세럼 오랜만에 이가격 보네요!

작년에 이거보다 비싸게 주고 샀던거 같은데 이거 넘 좋아요 ㅎㅎ

보습력 엄청 짱짱하고 가성비 최고에요 ㅎㅎ

핑크랑 노랑, 초록 있는데 뭐가 다른진 잘 모르겠지만.. 노랑이 인기 많은거같더라구요

개당 2,660원이라 저렴하길래 겨울 대비로 하나 쟁여봤어요 ㅎㅎ",1930,74,25,2025-10-20 11:13
7,mam2bebe,의류,"나이키키즈 조던 후드맨투맨 상하의 26,560원 무배","나이키키즈 사이즈 105부터 170사이즈까지 다양하게 있어요 

바지만사도되고 후드만 사도되네요 

모자달린옷 좋아해서 후드로만 샀는데 맨투맨도 이쁜거많아요",5379,102,13,2025-10-20 10:36
8,mam2bebe,의류,"탑텐키즈 베이직 에코 플리스 베스트 14,110원","가볍고 따뜻해서 활용도 무궁무진해요

외출용으로 샀지만 실내에서도 자주입을듯요

잘 안보이지만 주머니도 있어요

사이즈 빠진거없이 다 있습니당😄",2863,76,5,2025-10-20 10:35
9,mam2bebe,의류,"KARRA 글로시 가죽 터치패딩 22,100원 무배","글로시라 빤딱반딱한 유광 느낌있어요~

넘 부해보이지 않고 숏이라 더 예쁜거 같네요ㅎㅎ

​

가을겨울템 구경 가세요~~",4391,63,9,2025-10-20 10:35
10,mam2bebe,의류,"비너스 노와이어브라 2장 15,970원 무배 초핫딜","예전에 핫딜방에서 보고 최애템된거요ㅋㅋ

부유방커버 잘되구 편해요,,,
좀 더 볼륨 잇는거 원하시면 저중심 추천요!",3020,133,39,2025-10-20 00:10
